id,id_client,id_product,qtd,total,sale_date,usd_price_vigente,taxa_brl,custo_brl,lucro,margem_pct,ano,mes,ano_mes
12,27,48,13,191573.0,2024-07-29,2940.57,5.6479,215904.59,-24331.59,-12.7,2024,7,2024-07
18,25,27,3,47057.3,2024-11-28,3051.23,5.9871,54804.06,-7746.76,-16.46,2024,11,2024-11
38,38,87,9,601739.0,2024-04-30,13597.7,5.1718,632921.26,-31182.26,-5.18,2024,4,2024-04
67,18,85,3,109949.2,2024-02-04,7885.27,4.9471,117027.66,-7078.46,-6.44,2024,2,2024-02
70,4,98,13,980110.25,2023-08-13,15262.93,4.8918,970621.61,9488.64,0.97,2023,8,2023-08
93,37,113,11,45927.75,2023-01-11,815.5,5.202,46664.54,-736.79,-1.6,2023,1,2023-01
161,19,126,8,21416.0,2024-09-09,467.05,5.6097,20960.08,455.92,2.13,2024,9,2024-09
186,14,7,10,185428.6,2023-06-23,3678.62,4.7799,175834.36,9594.24,5.17,2023,6,2023-06
190,24,138,8,31790.8,2023-12-18,836.88,4.9399,33072.83,-1282.03,-4.03,2023,12,2023-12
218,38,84,8,330021.45,2024-01-16,8951.16,4.9038,351157.59,-21136.14,-6.4,2024,1,2024-01
225,41,106,14,58318.6,2023-09-03,918.37,4.9318,63409.04,-5090.44,-8.73,2023,9,2023-09
257,15,124,1,3581.5,2023-04-30,725.63,5.0007,3628.66,-47.16,-1.32,2023,4,2023-04
261,11,130,4,16576.0,2024-07-24,752.23,5.6346,16954.06,-378.06,-2.28,2024,7,2024-07
263,3,107,2,2875.65,2024-11-29,311.59,6.0535,3772.42,-896.77,-31.18,2024,11,2024-11
273,2,143,15,66546.0,2024-01-21,896.83,4.9223,66216.99,329.01,0.49,2024,1,2024-01
275,40,67,6,514734.0,2024-02-25,16720.73,4.9851,500127.07,14606.93,2.84,2024,2,2024-02
280,23,62,9,873998.1,2024-03-22,20000.78,4.9897,898181.03,-24182.93,-2.77,2024,3,2024-03
295,47,102,12,9984.0,2023-09-07,199.93,4.9762,11938.7,-1954.7,-19.58,2023,9,2023-09
300,19,62,1,102222.0,2024-08-05,20000.78,5.7646,115296.5,-13074.5,-12.79,2024,8,2024-08
317,15,73,12,1717919.0,2024-10-06,26171.36,5.4686,1717448.39,470.61,0.03,2024,10,2024-10
340,24,130,4,16576.0,2023-03-18,749.89,5.2679,15801.38,774.62,4.67,2023,3,2023-03
343,47,64,14,1483024.1,2023-11-07,21352.22,4.867,1454897.57,28126.53,1.9,2023,11,2023-11
412,31,115,4,3155.9,2023-09-06,160.69,4.9762,3198.5,-42.6,-1.35,2023,9,2023-09
434,46,98,13,980110.25,2024-09-29,15850.04,5.4431,1121553.59,-141443.34,-14.43,2024,9,2024-09
439,13,1,2,66245.0,2024-01-02,6574.8,4.8916,64322.58,1922.42,2.9,2024,1,2024-01
443,15,91,5,674430.0,2023-02-18,26303.31,5.2012,684043.88,-9613.88,-1.43,2023,2,2023-02
452,28,134,2,8963.25,2024-09-26,948.15,5.4412,10318.15,-1354.9,-15.12,2024,9,2024-09
471,33,36,12,271217.0,2023-03-25,4221.25,5.2921,268071.33,3145.67,1.16,2023,3,2023-03
475,2,107,15,22701.0,2023-10-06,295.48,5.1918,23011.1,-310.1,-1.37,2023,10,2023-10
496,31,98,10,793611.0,2023-09-29,15850.04,5.0076,793706.6,-95.6,-0.01,2023,9,2023-09
536,19,86,8,748185.0,2023-01-17,17824.79,5.1203,730146.18,18038.82,2.41,2023,1,2023-01
581,12,7,10,195188.0,2023-06-14,3678.62,4.8462,178273.28,16914.72,8.67,2023,6,2023-06
585,30,6,14,157208.85,2024-02-14,2104.66,4.9723,146510.01,10698.84,6.81,2024,2,2024-02
600,36,73,13,1768025.05,2024-06-01,28694.54,5.2416,1955268.91,-187243.86,-10.59,2024,6,2024-06
603,19,97,10,1353351.0,2024-12-23,25607.88,6.1612,1577752.7,-224401.7,-16.58,2024,12,2024-12
611,45,13,9,66237.8,2023-04-18,1356.5,4.9678,60649.39,5588.41,8.44,2023,4,2023-04
612,32,11,10,344203.05,2024-01-14,7246.24,4.8543,351754.23,-7551.18,-2.19,2024,1,2024-01
613,14,21,14,122284.0,2024-07-22,1689.08,5.5598,131473.26,-9189.26,-7.51,2024,7,2024-07
615,29,37,5,28822.05,2024-06-30,1211.89,5.5589,33683.88,-4861.83,-16.87,2024,6,2024-06
619,26,30,3,96744.0,2023-09-13,6558.44,4.9171,96745.52,-1.52,0.0,2023,9,2023-09
633,21,117,5,19489.25,2023-03-23,823.4,5.2632,21668.59,-2179.34,-11.18,2023,3,2023-03
640,14,61,6,159706.4,2023-10-01,5396.92,5.0076,162153.7,-2447.3,-1.53,2023,10,2023-10
641,37,134,6,26890.7,2024-08-08,948.15,5.6172,31955.69,-5064.99,-18.84,2024,8,2024-08
644,5,40,8,107798.4,2023-11-19,2970.73,4.8849,116093.75,-8295.35,-7.7,2023,11,2023-11
660,2,91,12,1618632.0,2023-10-29,27671.77,4.948,1643039.02,-24407.02,-1.51,2023,10,2023-10
662,6,38,12,301657.3,2024-05-06,5439.42,5.0727,331110.55,-29453.25,-9.76,2024,5,2024-05
668,22,64,2,223011.0,2024-01-25,21352.22,4.9232,210242.5,12768.5,5.73,2024,1,2024-01
673,4,95,13,862129.75,2023-11-26,12945.63,4.8927,823408.09,38721.66,4.49,2023,11,2023-11
692,33,18,3,79717.0,2023-06-21,4834.43,4.7795,69318.47,10398.53,13.04,2023,6,2023-06
734,22,86,7,654662.0,2023-04-21,17824.79,5.0497,630068.89,24593.11,3.76,2023,4,2023-04
739,38,65,4,97119.45,2024-08-22,4996.52,5.5524,110970.71,-13851.26,-14.26,2024,8,2024-08
773,36,76,10,1407882.9,2024-04-04,27945.06,5.0237,1403875.98,4006.92,0.28,2024,4,2024-04
774,45,33,3,19139.65,2023-03-31,1268.8,5.0804,19338.03,-198.38,-1.04,2023,3,2023-03
782,6,113,13,57134.0,2023-02-03,815.5,5.103,54099.45,3034.55,5.31,2023,2,2023-02
783,22,80,4,491050.25,2023-10-11,24177.04,5.0496,488337.52,2712.73,0.55,2023,10,2023-10
802,34,112,4,8724.0,2024-02-25,435.58,4.9851,8685.64,38.36,0.44,2024,2,2024-02
820,32,20,3,87875.0,2023-01-10,5689.04,5.2395,89423.18,-1548.18,-1.76,2023,1,2023-01
826,3,128,15,69761.0,2023-05-15,853.09,4.9103,62833.92,6927.08,9.93,2023,5,2023-05
835,45,26,2,34566.0,2024-05-06,3412.88,5.0727,34625.03,-59.03,-0.17,2024,5,2024-05
840,12,143,2,8873.0,2023-02-26,845.69,5.1791,8759.83,113.17,1.28,2023,2,2023-02
849,21,93,15,1507155.0,2023-11-23,19409.47,4.8931,1424587.16,82567.84,5.48,2023,11,2023-11
857,8,47,3,17450.55,2024-09-18,1116.66,5.4767,18346.84,-896.29,-5.14,2024,9,2024-09
881,36,106,10,41656.55,2023-11-03,918.37,4.891,44917.48,-3260.93,-7.83,2023,11,2023-11
912,18,72,9,852132.9,2024-10-08,30675.48,5.5197,1523875.02,-671742.12,-78.83,2024,10,2024-10
946,19,102,9,7113.6,2023-04-26,199.93,5.0585,9102.11,-1988.51,-27.95,2023,4,2023-04
947,48,24,15,331058.85,2023-03-16,4129.65,5.2892,327638.17,3420.68,1.03,2023,3,2023-03
961,12,79,13,816913.55,2023-08-18,11724.63,4.9724,757894.15,59019.4,7.22,2023,8,2023-08
973,25,19,13,213621.0,2024-10-15,3358.13,5.6378,246122.05,-32501.05,-15.21,2024,10,2024-10
980,3,37,13,74936.0,2024-01-18,1211.89,4.9403,77832.3,-2896.3,-3.87,2024,1,2024-01
999,1,56,7,300921.0,2024-10-06,8087.59,5.4686,309594.56,-8673.56,-2.88,2024,10,2024-10
1021,35,29,6,219062.0,2023-04-10,7689.63,5.0834,234536.79,-15474.79,-7.06,2023,4,2023-04
1030,18,13,10,73597.45,2024-04-26,1356.5,5.1184,69431.1,4166.35,5.66,2024,4,2024-04
1044,49,46,1,4984.0,2024-10-30,1000.64,5.7801,5783.8,-799.8,-16.05,2024,10,2024-10
1088,30,34,3,14753.0,2024-02-12,1022.84,4.9717,15255.76,-502.76,-3.41,2024,2,2024-02
1092,44,17,4,53347.25,2023-08-25,2833.14,4.8772,55271.16,-1923.91,-3.61,2023,8,2023-08
1108,1,147,5,15150.0,2023-01-09,592.19,5.2967,15683.26,-533.26,-3.52,2023,1,2023-01
1160,37,146,15,7068.0,2023-06-06,99.02,4.9292,7321.34,-253.34,-3.58,2023,6,2023-06
1195,26,8,12,56819.5,2024-02-18,1006.07,4.9761,60075.66,-3256.16,-5.73,2024,2,2024-02
1229,20,74,11,904536.8,2023-10-26,17160.36,5.0055,944858.0,-40321.2,-4.46,2023,10,2023-10
1238,42,149,4,4654.0,2023-01-02,217.62,5.3436,4651.5,2.5,0.05,2023,1,2023-01
1250,24,96,9,603808.6,2023-08-11,14776.4,4.8918,650548.74,-46740.14,-7.74,2023,8,2023-08
1256,21,136,2,3749.65,2023-11-24,390.62,4.8927,3822.37,-72.72,-1.94,2023,11,2023-11
1279,28,135,5,8223.0,2024-12-22,328.1,6.078,9970.96,-1747.96,-21.26,2024,12,2024-12
